Key, English, German
GAMEPLAY_Play, "Play", "Spielen"
GAMEPLAY_InstrumentEffectsLevel1, "A lot of mistakes", "Sehr viele Fehler"
GAMEPLAY_InstrumentEffectsLevel2, "Many mistakes", "Viele Fehler"
GAMEPLAY_InstrumentEffectsLevel3, "Some mistakes", "Einige Fehler"
GAMEPLAY_InstrumentEffectsLevel4, "Few mistakes", "Wenige Fehler"
GAMEPLAY_InstrumentEffectsLevel5, "Hardly any mistakes", "Kaum Fehler"
GAMEPLAY_InstrumentDescriptionLevel1, "This might as well be the first time you played this instrument.", "Als ob du zum ersten mal dieses Instrument spielst."
GAMEPLAY_InstrumentDescriptionLevel2, "You're beginning to understand how to play this instrument, but you're still making many mistakes.", "Du verstehst das Instrument langsam besser, aber machst immer noch viele Fehler."
GAMEPLAY_InstrumentDescriptionLevel3, "You can play! Still not flawless but it's beginning to sound like real music.", "Du kannst spielen! Es ist nicht fehlerfrei, aber es klingt schon nach richtiger Musik."
GAMEPLAY_InstrumentDescriptionLevel4, "You have become quite skilled and playing feels good and natural.", "Du bist nun sehr geübt und zu spielen fühlt sich gut und natürlich an."
GAMEPLAY_InstrumentDescriptionLevel5, "You have mastered this instrument. Making a mistake while playing is rare - but not impossible.", "Du hast dieses Instrument gemeistert. Fehler sind äußerst selten - aber nicht unmöglich."

GAMEPLAY_Guitar, "Guitar", "Guitarre"
GAMEPLAY_GuitarDescription, "Guitar", "Guitarre"

GAMEPLAY_Harmonica, "Harmonica", "Mundharmonika"
GAMEPLAY_HarmonicaDescription, "A little instrument, to pass your time with playing. Or get some metal in hurry.", "Ein kleines Instrument, um sich ein wenig die Zeit zu vertreiben. Oder schnell an etwas Metall zu kommen."
